"time (s)","(v "/in" ?resultsDir "/nfs/ug/homes-5/l/lizongh2/cmos65nm/simulation/a6_1/spectre/schematic" ?result "tran-tran") (V)"
0.00000,0.5500
1.786E-13,0.5501
3.571E-13,0.5501
7.143E-13,0.5502
1.429E-12,0.5505
2.857E-12,0.5510
5.179E-12,0.5518
7.857E-12,0.5527
1.321E-11,0.5546
2.393E-11,0.5583
3.607E-11,0.5625
3.643E-11,0.5626
3.714E-11,0.5628
3.857E-11,0.5633
4.143E-11,0.5643
4.714E-11,0.5663
5.857E-11,0.5702
8.143E-11,0.5781
1.121E-10,0.5887
1.429E-10,0.5993
1.43E-10,0.5994
1.432E-10,0.5994
1.436E-10,0.5995
1.443E-10,0.5998
1.457E-10,0.6003
1.48E-10,0.6011
1.507E-10,0.6020
1.561E-10,0.6038
1.668E-10,0.6075
1.789E-10,0.6117
1.793E-10,0.6118
1.8E-10,0.6121
1.814E-10,0.6126
1.843E-10,0.6135
1.900E-10,0.6155
2.014E-10,0.6194
2.243E-10,0.6273
2.550E-10,0.6377
2.857E-10,0.6482
2.859E-10,0.6483
2.861E-10,0.6483
2.864E-10,0.6484
2.871E-10,0.6487
2.886E-10,0.6492
2.909E-10,0.6500
2.936E-10,0.6509
2.989E-10,0.6527
3.096E-10,0.6563
3.218E-10,0.6604
3.221E-10,0.6606
3.229E-10,0.6608
3.243E-10,0.6613
3.271E-10,0.6623
3.329E-10,0.6642
3.443E-10,0.6681
3.671E-10,0.6758
3.979E-10,0.6861
4.286E-10,0.6963
4.288E-10,0.6964
4.289E-10,0.6964
4.293E-10,0.6966
4.3E-10,0.6968
4.314E-10,0.6973
4.338E-10,0.6980
4.364E-10,0.6989
4.418E-10,0.7007
4.525E-10,0.7043
4.646E-10,0.7083
4.65E-10,0.7084
4.657E-10,0.7087
4.671E-10,0.7091
4.7E-10,0.7101
4.757E-10,0.7120
4.871E-10,0.7157
5.100E-10,0.7232
5.407E-10,0.7333
5.714E-10,0.7433
5.716E-10,0.7433
5.718E-10,0.7434
5.721E-10,0.7435
5.729E-10,0.7437
5.743E-10,0.7442
5.766E-10,0.7449
5.793E-10,0.7458
5.846E-10,0.7475
5.954E-10,0.7510
6.075E-10,0.7549
6.079E-10,0.7550
6.086E-10,0.7552
6.100E-10,0.7557
6.129E-10,0.7566
6.186E-10,0.7584
6.3E-10,0.7621
6.529E-10,0.7693
6.836E-10,0.7790
7.143E-10,0.7886
7.145E-10,0.7887
7.146E-10,0.7887
7.15E-10,0.7889
7.157E-10,0.7891
7.171E-10,0.7895
7.195E-10,0.7902
7.221E-10,0.7911
7.275E-10,0.7927
7.382E-10,0.7961
7.504E-10,0.7998
7.507E-10,0.7999
7.514E-10,0.8001
7.529E-10,0.8006
7.557E-10,0.8015
7.614E-10,0.8032
7.729E-10,0.8067
7.957E-10,0.8137
8.264E-10,0.8229
8.571E-10,0.8321
8.573E-10,0.8321
8.575E-10,0.8322
8.579E-10,0.8323
8.586E-10,0.8325
8.6E-10,0.8329
8.623E-10,0.8336
8.65E-10,0.8344
8.704E-10,0.8360
8.811E-10,0.8392
8.932E-10,0.8427
8.936E-10,0.8428
8.943E-10,0.8430
8.957E-10,0.8435
8.986E-10,0.8443
9.043E-10,0.8460
9.157E-10,0.8493
9.386E-10,0.8559
9.693E-10,0.8646
1.0E-9,0.8733
1.0E-9,0.8733
1.0E-9,0.8734
1.001E-9,0.8735
1.001E-9,0.8737
1.003E-9,0.8741
1.005E-9,0.8747
1.008E-9,0.8755
1.013E-9,0.8770
1.024E-9,0.8799
1.036E-9,0.8833
1.036E-9,0.8834
1.037E-9,0.8836
1.039E-9,0.8840
1.041E-9,0.8848
1.047E-9,0.8863
1.059E-9,0.8894
1.081E-9,0.8956
1.112E-9,0.9038
1.143E-9,0.9119
1.143E-9,0.9119
1.143E-9,0.9120
1.144E-9,0.9121
1.144E-9,0.9122
1.146E-9,0.9126
1.148E-9,0.9132
1.151E-9,0.9139
1.156E-9,0.9153
1.167E-9,0.9181
1.179E-9,0.9212
1.179E-9,0.9213
1.18E-9,0.9214
1.181E-9,0.9218
1.184E-9,0.9225
1.19E-9,0.9240
1.201E-9,0.9269
1.224E-9,0.9326
1.255E-9,0.9401
1.286E-9,0.9475
1.286E-9,0.9476
1.286E-9,0.9476
1.286E-9,0.9477
1.287E-9,0.9479
1.289E-9,0.9482
1.291E-9,0.9488
1.294E-9,0.9494
1.299E-9,0.9507
1.31E-9,0.9532
1.322E-9,0.9560
1.322E-9,0.9561
1.323E-9,0.9563
1.324E-9,0.9566
