"time (s)","wave_55()"
0.00000,0.00000
1.786E-13,0.00000
3.571E-13,0.00000
7.143E-13,0.00000
1.429E-12,0.00000
2.857E-12,0.00000
5.714E-12,0.00000
1.143E-11,0.00000
2.286E-11,0.00000
3.607E-11,0.00000
3.643E-11,0.00000
3.714E-11,0.00000
3.857E-11,0.00000
4.143E-11,0.00000
4.714E-11,0.00000
5.857E-11,0.00000
7.143E-11,0.00000
7.161E-11,0.00000
7.179E-11,0.00000
7.214E-11,0.00000
7.286E-11,0.00000
7.429E-11,0.00000
7.714E-11,0.00000
8.286E-11,0.00000
9.429E-11,0.00000
1.075E-10,0.00000
1.079E-10,0.00000
1.086E-10,0.00000
1.1E-10,0.00000
1.129E-10,0.00000
1.186E-10,0.00000
1.3E-10,0.00000
1.429E-10,0.00000
1.43E-10,0.00000
1.432E-10,0.00000
1.436E-10,0.00000
1.443E-10,0.00000
1.457E-10,0.00000
1.486E-10,0.00000
1.543E-10,0.00000
1.657E-10,0.00000
1.789E-10,0.00000
1.793E-10,0.00000
1.8E-10,0.00000
1.814E-10,0.00000
1.843E-10,0.00000
1.900E-10,0.00000
2.014E-10,0.00000
2.143E-10,0.00000
2.145E-10,0.00000
2.146E-10,0.00000
2.15E-10,0.00000
2.157E-10,0.00000
2.171E-10,0.00000
2.2E-10,0.00000
2.257E-10,0.00000
2.371E-10,0.00000
2.504E-10,0.00000
2.507E-10,0.00000
2.514E-10,0.00000
2.529E-10,0.00000
2.557E-10,0.00000
2.614E-10,0.00000
2.729E-10,0.00000
2.857E-10,0.00000
2.859E-10,0.00000
2.861E-10,0.00000
2.864E-10,0.00000
2.871E-10,0.00000
2.886E-10,0.00000
2.914E-10,0.00000
2.971E-10,0.00000
3.086E-10,0.00000
3.218E-10,0.00000
3.221E-10,0.00000
3.229E-10,0.00000
3.243E-10,0.00000
3.271E-10,0.00000
3.329E-10,0.00000
3.443E-10,0.00000
3.571E-10,0.00000
3.573E-10,0.00000
3.575E-10,0.00000
3.579E-10,0.00000
3.586E-10,0.00000
3.6E-10,0.00000
3.629E-10,0.00000
3.686E-10,0.00000
3.800E-10,0.00000
3.932E-10,0.00000
3.936E-10,0.00000
3.943E-10,0.00000
3.957E-10,0.00000
3.986E-10,0.00000
4.043E-10,0.00000
4.157E-10,0.00000
4.286E-10,0.00000
4.288E-10,0.00000
4.289E-10,0.00000
4.293E-10,0.00000
4.3E-10,0.00000
4.314E-10,0.00000
4.343E-10,0.00000
4.4E-10,0.00000
4.514E-10,0.00000
4.646E-10,0.00000
4.65E-10,0.00000
4.657E-10,0.00000
4.671E-10,0.00000
4.7E-10,0.00000
4.757E-10,0.00000
4.871E-10,0.00000
5.0E-10,0.00000
5.002E-10,0.00000
5.004E-10,0.00000
5.007E-10,0.00000
5.014E-10,0.00000
5.029E-10,0.00000
5.057E-10,0.00000
5.114E-10,0.00000
5.229E-10,0.00000
5.361E-10,0.00000
5.364E-10,0.00000
5.371E-10,0.00000
5.386E-10,0.00000
5.414E-10,0.00000
5.471E-10,0.00000
5.586E-10,0.00000
5.714E-10,0.00000
5.716E-10,0.00000
5.718E-10,0.00000
5.721E-10,0.00000
5.729E-10,0.00000
5.743E-10,0.00000
5.771E-10,0.00000
5.829E-10,0.00000
5.943E-10,0.00000
6.075E-10,0.00000
6.079E-10,0.00000
6.086E-10,0.00000
6.100E-10,0.00000
6.129E-10,0.00000
6.186E-10,0.00000
6.3E-10,0.00000
6.429E-10,0.00000
6.43E-10,0.00000
6.432E-10,0.00000
6.436E-10,0.00000
6.443E-10,0.00000
6.457E-10,0.00000
6.486E-10,0.00000
6.543E-10,0.00000
6.657E-10,0.00000
6.789E-10,0.00000
6.793E-10,0.00000
6.8E-10,0.00000
6.814E-10,0.00000
6.843E-10,0.00000
6.9E-10,0.00000
7.014E-10,0.00000
7.143E-10,0.00000
7.145E-10,0.00000
7.146E-10,0.00000
7.15E-10,0.00000
7.157E-10,0.00000
7.171E-10,0.00000
7.2E-10,0.00000
7.257E-10,0.00000
7.371E-10,0.00000
7.504E-10,0.00000
7.507E-10,0.00000
7.514E-10,0.00000
7.529E-10,0.00000
7.557E-10,0.00000
7.614E-10,0.00000
7.729E-10,0.00000
7.857E-10,0.00000
7.859E-10,0.00000
7.861E-10,0.00000
7.864E-10,0.00000
7.871E-10,0.00000
7.886E-10,0.00000
7.914E-10,0.00000
7.971E-10,0.00000
8.086E-10,0.00000
8.218E-10,0.00000
8.221E-10,0.00000
8.229E-10,0.00000
8.243E-10,0.00000
8.271E-10,0.00000
8.329E-10,0.00000
8.443E-10,0.00000
8.571E-10,0.00000
8.573E-10,0.00000
8.575E-10,0.00000
8.579E-10,0.00000
8.586E-10,0.00000
8.6E-10,0.00000
8.629E-10,0.00000
8.686E-10,0.00000
8.8E-10,0.00000
8.932E-10,0.00000
8.936E-10,0.00000
8.943E-10,0.00000
8.957E-10,0.00000
8.986E-10,0.00000
9.043E-10,0.00000
9.157E-10,0.00000
9.286E-10,0.00000
9.288E-10,0.00000
9.289E-10,0.00000
9.293E-10,0.00000
9.3E-10,0.00000
9.314E-10,0.00000
9.343E-10,0.00000
9.4E-10,0.00000
9.514E-10,0.00000
9.646E-10,0.00000
9.65E-10,0.00000
9.657E-10,0.00000
9.671E-10,0.00000
9.700E-10,0.00000
9.757E-10,0.00000
9.871E-10,0.00000
1.0E-9,0.00000
1.0E-9,0.00000
1.0E-9,0.00000
1.001E-9,0.00000
1.001E-9,0.00000
1.003E-9,0.00000
1.006E-9,0.00000
1.011E-9,0.00000
1.023E-9,0.00000
1.036E-9,0.00000
1.036E-9,0.00000
1.037E-9,0.00000
1.039E-9,0.00000
1.041E-9,0.00000
1.047E-9,0.00000
1.059E-9,0.00000
1.071E-9,0.00000
1.072E-9,0.00000
1.072E-9,0.00000
1.072E-9,0.00000
1.073E-9,0.00000
1.074E-9,0.00000
1.077E-9,0.00000
1.083E-9,0.00000
